CO2배출량,연비,배기량,등급
183,7.3,2999,5
246,7.2,3996,5
246,7.2,3982,5
246,7.2,3982,5
245,7.2,3982,5
246,7.2,3982,5
246,7.2,3982,5
246,7.2,3982,5
241,7.2,5038,5
241,7.2,5038,5
247,7.1,2993,5
247,7.1,2993,5
251,7.1,3982,5
247,7.1,2993,5
244,7.1,3996,5
244,7.1,3996,5
247,7.1,2993,5
251,7.1,3982,5
251,7.1,3982,5
248,7.1,2997,5
248,7,3982,5
248,7,3982,5
247,7,4395,5
256,7,3982,5
250,6.9,3996,5
250,6.9,3996,5
259,6.9,6162,5
259,6.9,6162,5
257,6.8,3745,5
257,6.8,3745,5
256,6.8,4395,5
256,6.8,4395,5
260,6.8,6162,5
260,6.8,6162,5
260,6.8,6162,5
258,6.7,4395,5
258,6.7,4395,5
267,6.7,3982,5
262,6.7,4395,5
262,6.7,4395,5
266,6.7,6162,5
260,6.6,4395,5
265,6.6,3996,5
265,6.6,3996,5
265,6.6,3996,5
268,6.6,3902,5
274,6.6,6592,5
255,6.6,3799,5
269,6.5,3604,5
269,6.5,3604,5
265,6.5,4395,5
265,6.5,4395,5
263,6.5,4999,5
275,6.5,5461,5
263,6.5,4999,5
263,6.5,4999,5
202,6.5,2359,5
277,6.4,3902,5
277,6.4,6592,5
264,6.4,2979,5
263,6.4,2979,5
278,6.4,5980,5
281,6.3,3996,5
286,6.3,5980,5
281,6.3,3996,5
288,6.2,5204,5
286,6.2,5204,5
292,6.1,5204,5
295,6.1,5980,5
295,6.1,5980,5
292,6.1,3982,5
285,6.1,5000,5
218,6.1,2359,5
296,6,5204,5
297,6,5204,5
298,6,6592,5
301,6,6592,5
301,5.9,3982,5
303,5.9,6592,5
300,5.8,6749,5
300,5.8,6749,5
304,5.8,5204,5
310,5.8,6749,5
310,5.8,6749,5
310,5.8,6749,5
310,5.8,6749,5
311,5.8,6592,5
311,5.8,6592,5
228,5.8,2359,5
228,5.8,2359,5
228,5.8,2359,5
228,5.8,2359,5
308,5.7,6749,5
308,5.7,6749,5
298,5.7,3799,5
295,5.7,3799,5
317,5.7,6592,5
313,5.7,6592,5
233,5.7,2359,5
233,5.7,2359,5
319,5.6,6749,5
319,5.6,6749,5
309,5.6,4999,5
309,5.6,4999,5
331,5.5,5980,5
325,5.5,6592,5
328,5.4,6496,5
330,5.4,6749,5
330,5.4,6749,5
337,5.3,6496,5
390,4.6,6498,5
398,4.5,6498,5
405,4.4,6498,5
408,4.4,6498,5
408,4.4,6498,5
423,4.2,6498,5
425,4.2,6498,5
438,4.1,6498,5
0,0,3498,5
